home,away,home_goals,away_goals,played_on,neutral,competition_weight
Australia,Croatia,1,2,2024-06-01,0,0.8
Uruguay,Switzerland,0,1,2024-06-01,1,1.0
Brazil,Belgium,3,1,2024-06-01,0,0.8
France,England,1,1,2024-06-01,0,0.8
Morocco,Japan,4,0,2024-06-02,0,0.8
Netherlands,Denmark,2,1,2024-06-02,1,1.0
Australia,France,0,1,2024-06-02,0,0.8
Netherlands,USA,6,1,2024-06-02,0,0.8
Italy,Portugal,3,0,2024-06-03,0,0.8
Canada,Uruguay,2,1,2024-06-03,0,0.8
Italy,Germany,2,2,2024-06-03,0,0.8
Brazil,Japan,3,0,2024-06-03,1,1.0
Spain,Italy,1,1,2024-06-03,0,0.8
Spain,South Korea,0,1,2024-06-03,0,0.8
Australia,Denmark,0,3,2024-06-03,1,1.0
Canada,England,0,1,2024-06-03,1,1.0
Argentina,USA,1,1,2024-06-04,1,1.0
Switzerland,Croatia,0,1,2024-06-04,0,0.8
Switzerland,England,0,2,2024-06-04,0,0.8
France,Germany,3,0,2024-06-04,1,1.0
France,Netherlands,2,2,2024-06-04,0,0.8
Spain,USA,1,0,2024-06-04,0,0.8
France,Uruguay,1,0,2024-06-04,0,0.8
Netherlands,South Korea,0,2,2024-06-04,0,0.8
Japan,Denmark,1,2,2024-06-04,0,0.8
USA,Canada,2,1,2024-06-04,1,1.0
Belgium,Argentina,1,3,2024-06-04,0,0.8
Poland,Croatia,1,1,2024-06-05,0,0.8
Argentina,Mexico,3,2,2024-06-05,0,0.8
Croatia,Netherlands,0,0,2024-06-05,0,0.8
South Korea,Germany,1,2,2024-06-05,0,0.8
Senegal,Switzerland,0,2,2024-06-05,1,1.0
Australia,Morocco,0,3,2024-06-05,0,0.8
Uruguay,Mexico,1,0,2024-06-05,0,0.8
France,Brazil,1,2,2024-06-05,1,1.0
South Korea,Australia,1,2,2024-06-05,0,0.8
England,Netherlands,1,1,2024-06-05,0,0.8
France,Germany,1,0,2024-06-06,0,0.8
Brazil,Portugal,3,2,2024-06-06,0,0.8
England,Senegal,3,1,2024-06-06,0,0.8
Brazil,England,3,0,2024-06-07,0,0.8
Brazil,Netherlands,0,1,2024-06-07,0,0.8
France,Japan,1,1,2024-06-07,0,0.8
Uruguay,South Korea,3,0,2024-06-08,0,0.8
Belgium,Mexico,2,0,2024-06-08,0,0.8
Switzerland,Canada,0,0,2024-06-08,0,0.8
Denmark,South Korea,2,0,2024-06-08,0,0.8
England,South Korea,3,0,2024-06-08,0,0.8
Canada,USA,0,1,2024-06-08,0,0.8
South Korea,Croatia,0,2,2024-06-08,1,1.0
Ghana,Morocco,1,2,2024-06-08,1,1.0
Germany,South Korea,2,1,2024-06-08,0,0.8
Netherlands,USA,2,1,2024-06-09,1,1.0
Denmark,Portugal,0,2,2024-06-09,1,1.0
Netherlands,Argentina,0,0,2024-06-09,1,1.0
Croatia,Spain,0,1,2024-06-10,1,1.0
Netherlands,Spain,1,1,2024-06-10,1,1.0
Canada,Spain,0,1,2024-06-10,1,1.0
Netherlands,Senegal,1,0,2024-06-10,1,1.0
Germany,Brazil,2,2,2024-06-10,0,0.8
Canada,Brazil,0,2,2024-06-10,0,0.8
Belgium,Switzerland,3,0,2024-06-11,1,1.0
Senegal,Italy,1,0,2024-06-11,0,0.8
England,Portugal,1,4,2024-06-11,0,0.8
Uruguay,Poland,1,1,2024-06-11,1,1.0
South Korea,Croatia,0,1,2024-06-11,0,0.8
Canada,Netherlands,2,4,2024-06-12,0,0.8
South Korea,Australia,1,1,2024-06-12,1,1.0
Morocco,Brazil,0,0,2024-06-12,0,0.8
Italy,Australia,0,0,2024-06-12,0,0.8
Germany,Japan,1,0,2024-06-12,0,0.8
Spain,France,2,1,2024-06-12,0,0.8
Mexico,Poland,2,0,2024-06-13,1,1.0
USA,Ghana,3,3,2024-06-13,1,1.0
Germany,Uruguay,4,0,2024-06-13,0,0.8
Germany,South Korea,2,1,2024-06-13,1,1.0
Denmark,USA,4,1,2024-06-13,0,0.8
Croatia,Canada,4,0,2024-06-13,0,0.8
Australia,Germany,1,0,2024-06-14,1,1.0
Portugal,Brazil,1,0,2024-06-14,1,1.0
Belgium,Croatia,1,1,2024-06-14,1,1.0
Morocco,France,0,2,2024-06-15,0,0.8
